"name","other_names","air_dates","air_days","country","duration_mins","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers"
"The Untamed","Mo Dao Zu Shi,Chén qíng lìng,Chen qing ling,Magic Ancestors,Grandmaster of Demonic Cultivation,魔道祖师,The Founder of Diabolism","Jun 27, 2019 - Aug  7, 2019","Monday,Wednesday,Tuesday","China","45","50","Fantasy,Adventure,Friendship,Action,Mystery,Historical,Wuxia","陈情令","Tencent Video","274","3","9.4","6445","Strong Chemistry,Censored Romance,Adapted From A Novel,Playful Male Lead,Tragic Past,Calm Second Male Lead,Fantasy World,Smart Male Lead,Xianxia,Strong Male Lead","12738"
"My Mister","My Ajusshi,My Ahjussi,My Ahjusshi,Naui Ajeosshi","Mar 21, 2018 - May 17, 2018","Wednesday,Thursday","South Korea","77","16","Business,Life,Psychological,Drama,Family","나의 아저씨","tvN","166","17","9.2","6571","Badass Female Lead,Hardship,Nice Male Lead,Smart Female Lead,Office Worker,Healing,Cold Woman,Workplace,Infidelity,Strong Female Lead","17245"
"Signal","Sigeuneol","Jan 22, 2016 - Mar 12, 2016","Saturday,Friday","South Korea","75","16","Suspense,Drama,Investigation,Mystery,Crime,Supernatural","시그널","tvN","56","19","9.2","13333","Hwaseong Serial Murders,Smart Female Lead,Time Altering,Kidnapping,Investigation,Different Timelines,Detective,Criminal Profiler,Serial Killer,Murder","30313"
"Prison Playbook","Gamok,Seulgirowoon Gambbangsaenghwal,감옥,Prison,Smart Prison Living,Wise Prison Life","Nov 22, 2017 - Jan 18, 2018","Wednesday,Thursday","South Korea","90","16","Life,Drama,Comedy,Friendship","슬기로운 감빵생활","tvN,Netflix","162","20","9.2","6647","Baseball,Nice Male Lead,Bromance,Character Development,Slight Romance,Prison,Wrongfully Accused,Black Comedy,Strong Male Lead,Slice Of Life","17466"
"Mother","Call Me Mother,Madeo","Jan 24, 2018 - Mar 15, 2018","Wednesday,Thursday","South Korea","63","16","Suspense,Life,Psychological,Drama,Investigation,Melodrama,Family","마더","tvN","332","24","9.2","3798","Child Abuse,Older Woman/Younger Man,Independent Female Lead,Single Parent,Teacher,Orphan Female Lead,Mother-Daughter Relationship,Motherhood,Remake,Adoption","11104"
"Nirvana in Fire","琅琊榜,Lang Ya Bang","Sep 19, 2015 - Oct 15, 2015","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","54","Fantasy,Tragedy,Friendship,Political,Drama,War,Military,Historical,Wuxia","瑯琊榜","BTV","377","26","9.2","3565","Hidden Identity,Royalty,Bromance,Adapted From A Novel,Female Warrior,Political Intrigue,Scheme,Smart Male Lead,Skilled Killer,Power Struggle","9937"
"SKY Castle","SKY Kaeseul,프린세스 메이커,Princess Maker","Nov 23, 2018 - Feb  1, 2019","Saturday,Friday","South Korea","75","20","School,Psychological,Drama,Mystery,Family","SKY 캐슬","jTBC","220","32","9.1","6660","Social Satire,Rich Kids,Medical,Social Commentary,Satire,Child Education,Multiple Mains,Makjang,Mother-Daughter Relationship,Female Centered Plot","14728"
"Joy of Life","Qing's Remaining Years,慶余年,Thankful for the Remaining Years,Qing Yu Nian","Nov 26, 2019 - Jan  1, 2020","Monday,Wednesday,Tuesday","China","45","46","Comedy,Political,Action,Romance,Historical","庆余年","iQiyi,Tencent Video","1297","37","9.2","975","Martial Arts,First Love,Adapted From A Novel,Revenge,Scheme,Smart Male Lead,Time Travel,Sword-fight,Strong Male Lead,Power Struggle","3243"
"Crash Landing on You","Breakdown of Love,Salangui Bulsichag,Love's Crash Landing,Unsettling Lo,Sarangui Bulsichag,Emergency Lands of Love,Sarangui bulsichak,Love’s Emergency Landing,Emergency Love Landing,Love Crashes,The Crash of Love,Sarangui Boolshichak,Crash Landing of Love","Dec 14, 2019 - Feb 16, 2020","Saturday,Sunday","South Korea","85","16","Drama,Romance,Political,Comedy","사랑의 불시착","tvN,Netflix","187","40","9.1","7634","North Korean,Nice Male Lead,Pretend Relationship,Cohabitation,North And South Korea,Lovers From Different Countries,Strong Male Lead,Army Officer,Rich Female Lead,Strong Female Lead","16021"
"Healer","Heelreo","Dec  8, 2014 - Feb 10, 2015","Monday,Tuesday","South Korea","60","20","Comedy,Action,Drama,Romance,Mystery,Thriller","힐러","KBS2","11","41","9.1","32049","Calm Male Lead,Hidden Identity,Badass Male Lead,Political,Double Identity,Reporter,Trauma,Hardworking Female Lead,Strong Male Lead,Strong Female Lead","54932"
"1 Litre no Namida","1 Litre of Tears,A Diary with Tears,One Litre of Tears,Ichi Rittoru no Namida","Oct 11, 2005 - Dec 20, 2005","Tuesday","Japan","45","11","School,Tragedy,Drama,Romance,Melodrama,Family","1 リットルの涙","Fuji TV","87","45","9.0","13710","Tearjerker,Adapted From A Novel,Terminal Illness,Kanjani 8,High School,Based On True Story,Kito Aya,Spinocerebellar Ataxia","24947"
"Eternal Love","三生三世，十里桃花,Three Lives Three Worlds,San Sheng San Shi Shi Li Tao Hua,Ten Miles of Peach Blossoms,The Eternal Ten Miles of Peach Blossoms,Ten Great III of Peach Blossom","Jan 30, 2017 - Mar  1, 2017","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","58","Fantasy,Adventure,Friendship,Drama,Romance,Melodrama,War,Historical,Wuxia,Supernatural","三生三世十里桃花","ZJTV","190","51","9.0","8035","Male Chases Female First,Steamy Kiss,Adapted From A Novel,Second Chance,Married Couple,Xianxia,Amnesia,Multiple Couples,Strong Female Lead,Historical Fantasy","15949"
"Stranger","Bimilui Soop,Secret Forest,Bimil Uisup,Forest of Secrets","Jun 10, 2017 - Jul 30, 2017","Saturday,Sunday","South Korea","70","16","Suspense,Law,Psychological,Drama,Detective,Investigation,Mystery,Thriller","비밀의 숲","tvN,Netflix","152","57","9.0","7417","Lawyer,Smart Female Lead,Antisocial Personality Disorder,Cold Man,Corruption,Prosecutor,Wrongfully Accused,Murder,Strong Female Lead,Alexithymia","18096"
