"name","other_names","air_dates","air_days","country","duration_mins","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_num_reviews","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers","db_rating","db_num_ratings","image_path"
"The Untamed","Chen qing ling,魔道祖师,Chén qíng lìng,Mo Dao Zu Shi,Magic Ancestors,The Founder of Diabolism,Grandmaster of Demonic Cultivation","Jun 27, 2019 - Aug  7, 2019","Tuesday,Wednesday,Monday","China","45","50","Fantasy,Friendship,Wuxia,Action,Historical,Adventure,Mystery","陈情令","Tencent Video","274","3","196 users","9.4","6445","Tragic Past,Fantasy World,Strong Chemistry,Censored Romance,Playful Male Lead,Smart Male Lead,Adapted From A Novel,Calm Second Male Lead,Strong Male Lead,Xianxia","12738","7.9","1258544","the-untamed.jpg"
"My Mister","My Ajusshi,My Ahjussi,Naui Ajeosshi,My Ahjusshi","Mar 21, 2018 - May 17, 2018","Wednesday,Thursday","South Korea","77","16","Life,Business,Psychological,Family,Drama","나의 아저씨","tvN","166","17","96 users","9.2","6571","Badass Female Lead,Cold Woman,Office Worker,Nice Male Lead,Hardship,Infidelity,Smart Female Lead,Workplace,Strong Female Lead,Healing","17245","9.4","71509","my-mister.jpg"
"Signal","Sigeuneol","Jan 22, 2016 - Mar 12, 2016","Friday,Saturday","South Korea","75","16","Supernatural,Investigation,Crime,Suspense,Mystery,Drama","시그널","tvN","56","19","105 users","9.2","13333","Criminal Profiler,Murder,Investigation,Serial Killer,Kidnapping,Detective,Smart Female Lead,Time Altering,Hwaseong Serial Murders,Different Timelines","30313","9.2","176801","signal.jpg"
"Prison Playbook","Prison,Seulgirowoon Gambbangsaenghwal,Gamok,Wise Prison Life,감옥,Smart Prison Living","Nov 22, 2017 - Jan 18, 2018","Wednesday,Thursday","South Korea","90","16","Comedy,Friendship,Drama,Life","슬기로운 감빵생활","Netflix,tvN","162","20","53 users","9.2","6647","Prison,Character Development,Slight Romance,Wrongfully Accused,Nice Male Lead,Baseball,Slice Of Life,Bromance,Black Comedy,Strong Male Lead","17466","9.4","97002","prison-playbook.jpg"
"Mother","Call Me Mother,Madeo","Jan 24, 2018 - Mar 15, 2018","Wednesday,Thursday","South Korea","63","16","Investigation,Life,Psychological,Melodrama,Family,Suspense,Drama","마더","tvN","332","24","30 users","9.2","3798","Motherhood,Mother-Daughter Relationship,Independent Female Lead,Single Parent,Orphan Female Lead,Adoption,Child Abuse,Older Woman/Younger Man,Teacher,Remake","11104","8.3","67825","mother-2018.jpg"
"Nirvana in Fire","Lang Ya Bang,琅琊榜","Sep 19, 2015 - Oct 15, 2015","Tuesday,Wednesday,Thursday,Monday,Friday,Sunday,Saturday","China","45","54","Military,Fantasy,Friendship,Political,Tragedy,Wuxia,Historical,War,Drama","瑯琊榜","BTV","377","26","81 users","9.2","3565","Royalty,Hidden Identity,Power Struggle,Skilled Killer,Scheme,Female Warrior,Smart Male Lead,Political Intrigue,Adapted From A Novel,Bromance","9937","9.3","400032","nirvana-in-fire.jpg"
"SKY Castle","프린세스 메이커,Princess Maker,SKY Kaeseul","Nov 23, 2018 - Feb  1, 2019","Friday,Saturday","South Korea","75","20","Psychological,School,Family,Mystery,Drama","SKY 캐슬","jTBC","220","32","38 users","9.1","6660","Social Satire,Rich Kids,Makjang,Mother-Daughter Relationship,Social Commentary,Female Centered Plot,Satire,Child Education,Medical,Multiple Mains","14728","8.8","82122","sky-castle.jpg"
"Joy of Life","Qing's Remaining Years,Qing Yu Nian,Thankful for the Remaining Years,慶余年","Nov 26, 2019 - Jan  1, 2020","Tuesday,Wednesday,Monday","China","45","46","Romance,Action,Historical,Political,Comedy","庆余年","iQiyi,Tencent Video","1297","37","32 users","9.2","975","Revenge,Sword-fight,First Love,Power Struggle,Scheme,Smart Male Lead,Martial Arts,Adapted From A Novel,Strong Male Lead,Time Travel","3243","7.9","672296","joy-of-life.jpg"
"Crash Landing on You","Love’s Emergency Landing,Emergency Lands of Love,Unsettling Lo,Sarangui Bulsichag,The Crash of Love,Crash Landing of Love,Sarangui bulsichak,Breakdown of Love,Love's Crash Landing,Love Crashes,Sarangui Boolshichak,Emergency Love Landing,Salangui Bulsichag","Dec 14, 2019 - Feb 16, 2020","Sunday,Saturday","South Korea","85","16","Comedy,Romance,Drama,Political","사랑의 불시착","Netflix,tvN","187","40","98 users","9.1","7634","North And South Korea,Lovers From Different Countries,Army Officer,Nice Male Lead,Cohabitation,Pretend Relationship,North Korean,Rich Female Lead,Strong Female Lead,Strong Male Lead","16021","8.2","126520","crash-landing-on-you.jpg"
"Healer","Heelreo","Dec  8, 2014 - Feb 10, 2015","Tuesday,Monday","South Korea","60","20","Romance,Thriller,Action,Comedy,Mystery,Drama","힐러","KBS2","11","41","244 users","9.1","32049","Reporter,Badass Male Lead,Hidden Identity,Hardworking Female Lead,Double Identity,Calm Male Lead,Political,Trauma,Strong Female Lead,Strong Male Lead","54932","8.6","70841","healer.jpg"
